Username,Email,Full Name,Role,Access Scope,Default Password,Report Section Access / Permissions
super.admin,super.admin@punjab.gov.in,Super Admin,SUPER_ADMIN,Global (Punjab),Gov@2026!Secure,Full access (All report sections & administrative modules)
state.admin,state.admin@punjab.gov.in,State Admin,STATE_ADMIN,Global (Punjab),Gov@2026!Secure,Full access (All report sections & administrative modules)
admin.amr,admin.amr@punjab.gov.in,District Admin AMR,DISTRICT_ADMIN,Amritsar,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.amr,officer1.amr@punjab.gov.in,Officer 1 AMR,OFFICER_1,Amritsar,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.amr,officer2.amr@punjab.gov.in,Officer 2 AMR,OFFICER_2,Amritsar,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.amr,geologist.amr@punjab.gov.in,Geologist AMR,GEOLOGIST,Amritsar,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.amr,reviewer.amr@punjab.gov.in,Reviewer AMR,REVIEWER,Amritsar,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.amr,deo.amr@punjab.gov.in,Data Entry Operator AMR,DATA_ENTRY_OPERATOR,Amritsar,Gov@2026!Secure,Edit Chapters 6-10
reportgen.amr,reportgen.amr@punjab.gov.in,Report Generator AMR,REPORT_GENERATOR,Amritsar,Gov@2026!Secure,Generate & download final DSR reports
admin.bnl,admin.bnl@punjab.gov.in,District Admin BNL,DISTRICT_ADMIN,Barnala,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.bnl,officer1.bnl@punjab.gov.in,Officer 1 BNL,OFFICER_1,Barnala,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.bnl,officer2.bnl@punjab.gov.in,Officer 2 BNL,OFFICER_2,Barnala,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.bnl,geologist.bnl@punjab.gov.in,Geologist BNL,GEOLOGIST,Barnala,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.bnl,reviewer.bnl@punjab.gov.in,Reviewer BNL,REVIEWER,Barnala,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.bnl,deo.bnl@punjab.gov.in,Data Entry Operator BNL,DATA_ENTRY_OPERATOR,Barnala,Gov@2026!Secure,Edit Chapters 6-10
reportgen.bnl,reportgen.bnl@punjab.gov.in,Report Generator BNL,REPORT_GENERATOR,Barnala,Gov@2026!Secure,Generate & download final DSR reports
admin.bti,admin.bti@punjab.gov.in,District Admin BTI,DISTRICT_ADMIN,Bathinda,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.bti,officer1.bti@punjab.gov.in,Officer 1 BTI,OFFICER_1,Bathinda,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.bti,officer2.bti@punjab.gov.in,Officer 2 BTI,OFFICER_2,Bathinda,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.bti,geologist.bti@punjab.gov.in,Geologist BTI,GEOLOGIST,Bathinda,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.bti,reviewer.bti@punjab.gov.in,Reviewer BTI,REVIEWER,Bathinda,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.bti,deo.bti@punjab.gov.in,Data Entry Operator BTI,DATA_ENTRY_OPERATOR,Bathinda,Gov@2026!Secure,Edit Chapters 6-10
reportgen.bti,reportgen.bti@punjab.gov.in,Report Generator BTI,REPORT_GENERATOR,Bathinda,Gov@2026!Secure,Generate & download final DSR reports
admin.fdk,admin.fdk@punjab.gov.in,District Admin FDK,DISTRICT_ADMIN,Faridkot,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.fdk,officer1.fdk@punjab.gov.in,Officer 1 FDK,OFFICER_1,Faridkot,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.fdk,officer2.fdk@punjab.gov.in,Officer 2 FDK,OFFICER_2,Faridkot,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.fdk,geologist.fdk@punjab.gov.in,Geologist FDK,GEOLOGIST,Faridkot,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.fdk,reviewer.fdk@punjab.gov.in,Reviewer FDK,REVIEWER,Faridkot,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.fdk,deo.fdk@punjab.gov.in,Data Entry Operator FDK,DATA_ENTRY_OPERATOR,Faridkot,Gov@2026!Secure,Edit Chapters 6-10
reportgen.fdk,reportgen.fdk@punjab.gov.in,Report Generator FDK,REPORT_GENERATOR,Faridkot,Gov@2026!Secure,Generate & download final DSR reports
admin.fgs,admin.fgs@punjab.gov.in,District Admin FGS,DISTRICT_ADMIN,Fatehgarh Sahib,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.fgs,officer1.fgs@punjab.gov.in,Officer 1 FGS,OFFICER_1,Fatehgarh Sahib,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.fgs,officer2.fgs@punjab.gov.in,Officer 2 FGS,OFFICER_2,Fatehgarh Sahib,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.fgs,geologist.fgs@punjab.gov.in,Geologist FGS,GEOLOGIST,Fatehgarh Sahib,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.fgs,reviewer.fgs@punjab.gov.in,Reviewer FGS,REVIEWER,Fatehgarh Sahib,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.fgs,deo.fgs@punjab.gov.in,Data Entry Operator FGS,DATA_ENTRY_OPERATOR,Fatehgarh Sahib,Gov@2026!Secure,Edit Chapters 6-10
reportgen.fgs,reportgen.fgs@punjab.gov.in,Report Generator FGS,REPORT_GENERATOR,Fatehgarh Sahib,Gov@2026!Secure,Generate & download final DSR reports
admin.fzk,admin.fzk@punjab.gov.in,District Admin FZK,DISTRICT_ADMIN,Fazilka,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.fzk,officer1.fzk@punjab.gov.in,Officer 1 FZK,OFFICER_1,Fazilka,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.fzk,officer2.fzk@punjab.gov.in,Officer 2 FZK,OFFICER_2,Fazilka,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.fzk,geologist.fzk@punjab.gov.in,Geologist FZK,GEOLOGIST,Fazilka,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.fzk,reviewer.fzk@punjab.gov.in,Reviewer FZK,REVIEWER,Fazilka,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.fzk,deo.fzk@punjab.gov.in,Data Entry Operator FZK,DATA_ENTRY_OPERATOR,Fazilka,Gov@2026!Secure,Edit Chapters 6-10
reportgen.fzk,reportgen.fzk@punjab.gov.in,Report Generator FZK,REPORT_GENERATOR,Fazilka,Gov@2026!Secure,Generate & download final DSR reports
admin.fzr,admin.fzr@punjab.gov.in,District Admin FZR,DISTRICT_ADMIN,Ferozepur,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.fzr,officer1.fzr@punjab.gov.in,Officer 1 FZR,OFFICER_1,Ferozepur,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.fzr,officer2.fzr@punjab.gov.in,Officer 2 FZR,OFFICER_2,Ferozepur,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.fzr,geologist.fzr@punjab.gov.in,Geologist FZR,GEOLOGIST,Ferozepur,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.fzr,reviewer.fzr@punjab.gov.in,Reviewer FZR,REVIEWER,Ferozepur,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.fzr,deo.fzr@punjab.gov.in,Data Entry Operator FZR,DATA_ENTRY_OPERATOR,Ferozepur,Gov@2026!Secure,Edit Chapters 6-10
reportgen.fzr,reportgen.fzr@punjab.gov.in,Report Generator FZR,REPORT_GENERATOR,Ferozepur,Gov@2026!Secure,Generate & download final DSR reports
admin.gdp,admin.gdp@punjab.gov.in,District Admin GDP,DISTRICT_ADMIN,Gurdaspur,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
